Hours Used Per Day,Cost,User Age,Needs Replacement,Primary Usage,Brand,Computer Age (Months)
16.89428369,35266.8221,22.91722397,0,3,2,17.58335924
7.247563169,45843.37058,22.07779155,0,3,3,40.4131477
5.384026161,45981.07025,59.65651109,0,3,4,11.42425654
5.246546519,20297.32086,22.22413339,0,4,5,35.2334834
8.86847528,43341.38919,23.50113439,0,3,2,54.3380642
10.88902525,33822.00801,51.28570096,0,1,4,19.89068888
20.11183093,49665.21624,33.63517102,0,2,3,40.54498459
3.75749515,34496.96228,52.27250175,0,1,2,12.08631174
17.90329449,49606.87836,11.72587098,0,1,2,37.86292852
13.22346303,42637.08084,35.79155804,0,4,4,20.85057076
7.622742882,27458.14654,9.91597521,0,3,2,13.46128726
12.33485044,36151.84938,11.5712326,0,2,5,19.47774099
7.898667605,49764.06918,59.66693484,0,1,5,11.55162304
14.70988497,45725.91823,15.93698615,0,3,4,54.21305036
10.97841023,22921.00681,38.34797889,0,3,3,24.43402629
4.781327169,41191.1599,31.43244935,0,4,4,15.47147899
3.681410715,30367.38758,27.7985696,0,4,5,27.45606262
13.57400069,20209.46786,59.2905007,0,4,1,19.91163384
21.75549977,32104.42907,9.243933616,0,2,1,44.92073597
8.911026791,27042.63265,45.83601211,0,1,2,58.3019748
17.85900247,44566.07812,62.91348275,0,4,2,26.84398575
16.14921116,30119.91827,39.92958646,0,4,1,51.8009706
22.42576303,44825.71082,61.39888034,0,4,5,34.38592134
19.8825634,20017.93817,10.97869912,0,1,2,10.27690424
14.03192095,29234.5745,31.87121919,0,1,4,41.74674178
16.11170146,27234.95643,22.82899408,0,4,4,31.29263533
21.66288873,27007.02083,49.656795,0,4,5,39.38578487
10.18893205,22045.59859,63.93393416,0,3,2,53.49155734
8.516278235,25613.72811,22.62221356,0,4,4,26.98563967
1.248654924,36666.4871,45.28795228,0,2,2,54.16947977
20.01067471,28740.83219,19.29156507,0,2,2,45.28947184
19.42255611,32521.84347,40.22382451,0,4,4,29.82769063
3.402453916,31306.00641,34.44415174,0,1,1,36.590106
14.26771977,46277.14775,63.40430379,0,3,4,20.20928682
11.67157906,47158.96997,42.68605454,0,1,5,59.03224068
3.730309197,34788.70915,27.92186321,0,4,3,40.37371862
23.55306922,29904.67851,14.50345974,0,2,4,3.586964297
5.938005412,23204.02112,16.62106924,0,3,2,20.27069244
2.546386142,48602.08638,20.84306501,0,1,2,37.77555159
14.68148973,21806.80835,22.3050997,0,1,4,4.32366339
17.99393357,28929.50833,56.4851153,0,4,3,2.409167288
1.746199259,28941.98604,39.98969893,0,3,4,27.55143013
16.15050569,29612.03858,37.83328195,0,2,3,20.6287206
13.24271315,24928.6053,14.5418257,0,4,3,26.85961787
3.375095204,43494.84293,57.02796252,0,3,5,16.49890528
4.96804917,23674.93586,49.20041528,0,1,2,10.71834707
14.06340884,39047.19977,11.85709663,0,4,2,41.65945806
7.816225111,23715.3808,48.34660054,0,1,3,31.35969586
22.58126176,22116.06913,38.98167839,0,1,2,12.80909846
19.83102528,47282.88511,12.65834471,0,4,1,19.85577615
23.62204575,25703.86299,34.12313657,0,4,3,35.91666655
6.972429296,44637.50464,35.62768837,0,4,2,5.261531548
23.30364355,36338.92613,17.44914879,0,4,1,9.699727547
10.91837901,22335.69559,61.90479438,0,4,5,5.321490642
22.17731082,16907.3274,56.44859617,1,1,2,48.92672263
8.992932292,48663.44574,46.13427323,0,2,1,45.39214476
2.15803912,27408.83501,34.35084698,0,2,4,45.44546298
2.213600931,45789.36036,31.47063587,0,4,4,43.26319527
16.91625889,25064.30017,45.10548763,0,1,1,40.49374
11.53236687,45618.28646,39.08961656,0,2,3,29.14252301
6.209997399,20396.86439,11.54956704,0,2,3,38.89441165
15.12131705,35353.4137,37.21265098,0,2,2,3.263331732
6.81573672,43083.27738,53.96500618,0,1,4,37.66640094
14.28553035,48043.86552,34.17667302,0,4,3,46.89478463
9.261801181,47276.06409,10.96152492,0,4,3,30.52114326
19.94170121,44588.74609,52.81785736,0,4,4,22.09328638
19.8760117,46645.74049,19.47773558,0,3,5,17.36817735
11.97905916,25976.59058,22.74138759,0,3,3,38.92532096
9.068839515,28525.52887,17.38826215,0,3,1,41.87527072
9.338875321,28669.05575,26.8222587,0,1,2,52.38708839
19.53143409,31311.61793,51.13483582,0,2,3,21.19771087
8.548128104,31799.62011,37.60499399,0,2,3,46.41656614
5.808365595,36336.65974,19.67823263,0,1,5,34.11999363
2.947831863,24796.3929,58.03631445,0,1,1,53.08735295
23.36593755,13302.91308,58.13616573,1,4,2,32.14091439
11.73394178,40737.39991,57.62297023,0,4,3,31.54015988
12.08903828,25026.99618,21.61138405,0,3,2,35.09474781
20.34090034,29309.25446,33.72064262,0,3,4,45.20960595
6.088490018,35100.35392,64.1444104,0,1,3,57.91673825
