number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.1898637299496884,2026-05-31 15:36:16.578732,2026-05-31 15:36:17.003259,0 days 00:00:00.424527,0.5780093202212182,0.2904180608409973,0.1205712628744377,10,2,250,0.08499808989182997,0.0006440507553993703,0.8394633936788146,COMPLETE
1,0.18258175254449607,2026-05-31 15:36:17.003313,2026-05-31 15:36:17.082029,0 days 00:00:00.078716,0.6061695553391381,0.9170225492671691,0.2708160864249968,3,2,383,2.716051144654844e-06,0.00015777981883364995,0.9329770563201687,COMPLETE
2,0.2369980882131971,2026-05-31 15:36:17.082077,2026-05-31 15:36:17.148082,0 days 00:00:00.066005,0.6460723242676091,2.28034992108518,0.08012737503998542,5,4,273,0.019116469627784252,3.9572205641009174e-07,0.6557975442608167,COMPLETE
3,0.23354413552023795,2026-05-31 15:36:17.148116,2026-05-31 15:36:17.260518,0 days 00:00:00.112402,0.5852620618436457,4.7444276862666666,0.011711509955524094,7,1,306,0.530953226900921,0.02932100047183291,0.8430179407605753,COMPLETE
4,0.23962087875157065,2026-05-31 15:36:17.260553,2026-05-31 15:36:17.316920,0 days 00:00:00.056367,0.5610191174223894,0.17194260557609198,0.1024932221692416,3,5,222,0.1881755597772026,1.1755466083160747e-06,0.7760609974958406,COMPLETE
5,0.28667717461871667,2026-05-31 15:36:17.316957,2026-05-31 15:36:17.421954,0 days 00:00:00.104997,0.5924272277627636,3.8756641168055728,0.05864129169696527,5,10,365,0.32808889626606236,0.14408501080722544,0.8186841117373118,COMPLETE
6,0.25540877113288846,2026-05-31 15:36:17.421987,2026-05-31 15:36:17.590549,0 days 00:00:00.168562,0.522613644455269,1.9433864484474102,0.01351182947645082,10,4,339,1.481809088646707e-06,0.04264813784432918,0.6783931449676581,COMPLETE
7,0.22473300885806227,2026-05-31 15:36:17.590588,2026-05-31 15:36:17.647970,0 days 00:00:00.057382,0.9010984903770198,4.9344346830025865,0.06333268775321842,5,1,243,0.015064619068942013,3.8879928024075543e-07,0.6563696899899051,COMPLETE
8,0.26037160449907365,2026-05-31 15:36:17.648004,2026-05-31 15:36:17.687360,0 days 00:00:00.039356,0.8856351733429728,1.7923286427213632,0.11069143219393454,9,1,102,8.451863533931625e-08,0.08032068562667222,0.8916028672163949,COMPLETE
9,0.2634981661447631,2026-05-31 15:36:17.687395,2026-05-31 15:36:17.796768,0 days 00:00:00.109373,0.6625916610133735,3.1877873567760657,0.012413189635294229,5,8,349,0.12522814303053625,5.994036749692399e-05,0.7243929286862649,COMPLETE
